Trip_id,Specimen,Sex,InterOrbital,LengthPred,FISHING_EVENT_ID,MAJOR_STAT_AREA_CODE,MAJOR_STAT_AREA_NAME,TRIP_START_DATE,GEAR_CODE,GEAR_DESC,WEIGHT,AGE,SAMPLE_ID,AGE_SPECIMEN_COLLECTED
86410,16350338,2,54.89,736.9098943,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350340,2,48.99,670.2758368,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350344,2,54.73,735.102869,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350348,2,46.35,640.4599195,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350352,1,50.61,699.6777138,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350357,2,52.66,711.7244793,5618485,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560322,1
86410,16350359,2,49.77,679.0850851,5618486,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560323,1
86410,16350362,2,51.69,700.7693885,5618486,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560323,1
86410,16350371,2,53.16,717.3714334,5618486,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560323,1
86410,16350372,1,41.37,586.9875444,5618486,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560323,1
86410,16350377,2,53.4,720.0819713,5618486,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560323,1
86410,16350383,2,50.33,685.4096736,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350385,1,43.42,611.9891512,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350387,1,33.51,491.127725,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350390,2,39.26,560.3861114,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350396,1,44.97,630.8928052,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350397,1,46.8,653.2113128,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350398,1,46.61,650.8940907,5618487,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560324,1
86410,16350405,1,47.78,665.1633004,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350409,2,38.39,550.5604114,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350410,2,49.56,676.7133644,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350412,2,49.35,674.3416437,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350413,2,39.8,566.4848218,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350421,2,59.03,783.6666736,5618488,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560325,1
86410,16350430,1,49.88,690.7747025,5618489,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560326,1
86410,16350431,1,43.27,610.1597654,5618489,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560326,1
86410,16350434,2,52.59,710.9339058,5618489,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560326,1
86410,16350435,2,49.63,677.5039379,5618489,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560326,1
86410,16350438,2,55.66,745.6062035,5618489,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560326,1
86410,16350443,2,48.13,660.5630759,5618490,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560327,1
86410,16350445,2,46.53,642.492823,5618490,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560327,1
86410,16350447,2,51.36,697.0423989,5618490,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560327,1
86410,16350452,2,50.61,688.5719678,5618490,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560327,1
86410,16350453,1,50.02,692.4821293,5618490,3,3C: S.W. VANCOUVER ISLAND,2020-06-08,2,TRAP,NULL,NULL,560327,1
